1. What is your gender?,2. What is your age?,3. What is your current family situation?,4. What year of study are you in?,5. How much stress do you experience in the following areas of life? [Academic performance],5. How much stress do you experience in the following areas of life? [Family relationships],5. How much stress do you experience in the following areas of life? [Financial situation],5. How much stress do you experience in the following areas of life? [Social life],5. How much stress do you experience in the following areas of life? [Problems of loved ones],5. How much stress do you experience in the following areas of life? [Workload and Examinations],6. Are you involved in any extracurricular activities?,7. How often do you have a drink containing alcohol,"8. Over the last two weeks, how often have you experienced the following feelings? [Feeling optimistic about the future]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling useful]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling relaxed]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to deal with problems well]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to think clearly]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling close to others]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling confident]",9. Which of the following best describes your sexual attraction?,10. Please indicate how often you experience the following symptoms: [Mood Swings],10. Please indicate how often you experience the following symptoms: [Depressive Episodes],10. Please indicate how often you experience the following symptoms: [Manic Episodes],11. How would you rank your varsity academic performance?,12. How often do you pay attention to your feelings and emotions?,13. How often do you understand your own emotional states?,14. Have you been diagnosed with depression?,"15. Have you ever made an attempt to take your life, by taking an overdose of tablets or in some other way?",16. Have you ever deliberately harmed yourself in any way but not with the intention of killing yourself?,17. Do you have a family history of mental illness?,18. How many hours do you sleep on average per night?,19. How do you spend your free time after University?,"20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling fearful]","20. Over the past two weeks, how often have you experienced the following symptoms? [Nervousness or shakiness inside]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling hopeless about the future]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling blue]","20. Over the past two weeks, how often have you experienced the following symptoms? [Worrying too much about things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling no interest in things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling everything is an effort]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling worthless]",21. How would you describe your living environment?,22. How often do you go out with friends?
Male,22 to 26,Both parents are together,Third year,Mild,Mild,Mild,Mild,Mild,Mild,Yes,Never,Often,Some of the time,Often,Rarely,Not at all,Rarely,Not at all,Heterosexual with no same-sex attraction,Sometimes,Rarely,Rarely,Bottom 50%,Rarely,Sometimes,No,No,No,No,7-8 hours,Moderately Well,A little,Quite a bit,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Neutral,Rarely
Female,22 to 26,Both parents are together,Fourth year,Severe,Mild,Mild,Very Severe,Moderate,Severe,No,Never,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Often,Often,Sometimes,Top 50%,Often,Always,No,Yes,Yes,No,5-6 hours,Poorly,A little,Extremely,Extremely,Quite a bit,Quite a bit,Quite a bit,Extremely,Extremely,Neutral,Sometimes
Female,22 to 26,Both parents are together,Third year,Very Severe,Not at all,Very Severe,Severe,Not at all,Very Severe,No,Never,Rarely,Rarely,Rarely,Some of the time,Some of the time,Often,Rarely,Heterosexual with no same-sex attraction,Always,Always,Often,Bottom 50%,Sometimes,Rarely,Yes,Yes,Yes,Yes,Less than 5 hours,Moderately Well,Quite a bit,Quite a bit,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Neutral,Always
Female,17 to 21,Both parents are together,First year,Mild,Not at all,Not at all,Mild,Not at all,Mild,No,Never,Often,Rarely,Some of the time,Often,Often,Often,Often,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Never,Top 50%,Sometimes,Always,No,No,No,No,5-6 hours,Moderately Well,Not at all,Not at all,A little,Not at all,Not at all,A little,Not at all,A little,Neutral,Sometimes
Female,27 to 30,Both parents are together,Third year,Moderate,Severe,Moderate,Moderate,Very Severe,Severe,Yes,Never,Some of the time,Some of the time,Rarely,Often,Some of the time,Often,Some of the time,Heterosexual with some same-sex attraction,Sometimes,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,No,No,No,No,7-8 hours,Moderately Well,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Extremely,A little,Quite a bit,Stressful,Often
Female,22 to 26,Both parents are together,Fourth year,Moderate,Moderate,Mild,Moderate,Moderate,Moderate,No,Never,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Not at all,Some of the time,Heterosexual with no same-sex attraction,Often,Often,Sometimes,Top 50%,Often,Always,Yes,No,No,No,More than 8 hours,Very Poorly (Not at all productively),Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Stressful,Sometimes
Male,17 to 21,I do not have a father (deceased),First year,Mild,Moderate,Mild,Moderate,Mild,Moderate,Yes,Never,Some of the time,Often,Some of the time,Often,Some of the time,Often,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Top 50%,Rarely,Often,No,No,Yes,No,5-6 hours,Well,A little,Not at all,Quite a bit,A little,Not at all,A little,A little,Quite a bit,Neutral,Sometimes
Female,22 to 26,Both parents are together,Third year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,No,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Heterosexual with no same-sex attraction,Always,Always,Always,Top 50%,Often,Often,Yes,Yes,Yes,No,5-6 hours,Moderately Well,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Stressful,Rarely
Female,22 to 26,Both parents are together,Fourth year,Very Severe,Severe,Moderate,Severe,Severe,Severe,Yes,Never,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Heterosexual with no same-sex attraction,Often,Often,Sometimes,Top 50%,Sometimes,Sometimes,Yes,No,No,Yes,Less than 5 hours,Moderately Well,Quite a bit,A little,A little,A little,Extremely,A little,Quite a bit,Quite a bit,Stressful,Sometimes
Female,22 to 26,I do not have a father (deceased),Third year,Severe,Moderate,Moderate,Moderate,Moderate,Moderate,No,Never,Often,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Always,Often,Often,Bottom 50%,Never,Rarely,No,No,No,No,Less than 5 hours,Poorly,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Not at all,A little,Not at all,Neutral,Sometimes
Male,22 to 26,Both parents are together,Second year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Rarely,Sometimes,Sometimes,Top 50%,Often,Often,Yes,No,No,No,7-8 hours,Well,A little,A little,A little,A little,Quite a bit,A little,A little,Not at all,Neutral,Sometimes
Female,22 to 26,Both parents are together,Third year,Mild,Not at all,Not at all,Not at all,Mild,Mild,No,Never,Often,Often,Often,All of the time,Often,Often,Often,Non-heterosexual with same-sex sexual contact,Often,Often,Often,Top 50%,Always,Often,No,No,No,No,5-6 hours,Moderately Well,A little,Quite a bit,Not at all,Not at all,Not at all,A little,A little,Not at all,Relaxing,Often
Male,22 to 26,Separated,Third year,Moderate,Severe,Mild,Mild,Mild,Moderate,No,Never,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Not at all,Heterosexual with no same-sex attraction,Rarely,Rarely,Never,Bottom 50%,Rarely,Rarely,Yes,No,Yes,Yes,7-8 hours,Well,A little,Quite a bit,Extremely,Quite a bit,A little,Quite a bit,Extremely,Quite a bit,Very stressful,Sometimes
Male,17 to 21,Both parents are together,First year,Severe,Moderate,Very Severe,Moderate,Not at all,Severe,No,Monthly or less,Often,Some of the time,Some of the time,Often,Rarely,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Rarely,Bottom 50%,Rarely,Rarely,No,No,No,Yes,5-6 hours,Moderately Well,Not at all,Quite a bit,Quite a bit,Not at all,Extremely,Not at all,Quite a bit,Not at all,Very stressful,Often
Male,17 to 21,I do not have a mother (deceased),First year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Never,Some of the time,Often,Often,Rarely,Often,Some of the time,Often,Heterosexual with no same-sex attraction,Rarely,Sometimes,Never,Top 50%,Sometimes,Always,No,No,No,No,More than 8 hours,Very Well (Very Productively),A little,A little,Not at all,A little,A little,A little,Not at all,Not at all,Neutral,Rarely
Male,22 to 26,Both parents are together,Third year,Very Severe,Severe,Very Severe,Moderate,Very Severe,Very Severe,No,Monthly or less,Rarely,Rarely,Rarely,Rarely,Some of the time,Rarely,Not at all,Heterosexual with no same-sex attraction,Sometimes,Often,Always,Bottom 50%,Rarely,Often,No,No,No,No,5-6 hours,Very Poorly (Not at all productively),Quite a bit,Extremely,Extremely,Extremely,A little,Extremely,Extremely,Extremely,Stressful,Often
Male,22 to 26,Both parents are together,Third year,Severe,Severe,Severe,Mild,Severe,Severe,Yes,Never,All of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Often,Sometimes,Bottom 50%,Sometimes,Sometimes,Yes,No,Yes,Yes,Less than 5 hours,Very Poorly (Not at all productively),Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Neutral,Rarely
Male,22 to 26,Both parents are together,Third year,Severe,Mild,Mild,Mild,Not at all,Severe,No,Never,Not at all,Rarely,Some of the time,Some of the time,Often,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Never,Sometimes,Never,Top 50%,Rarely,Often,No,No,No,No,Less than 5 hours,Poorly,Not at all,A little,Quite a bit,Quite a bit,A little,A little,Quite a bit,A little,Neutral,Always
Female,22 to 26,Both parents are together,Fourth year,Very Severe,Very Severe,Severe,Severe,Very Severe,Very Severe,Yes,Never,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Heterosexual with no same-sex attraction,Often,Often,Sometimes,Top 50%,Sometimes,Sometimes,No,No,Yes,No,5-6 hours,Poorly,Extremely,Quite a bit,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Stressful,Rarely
Female,17 to 21,Separated,First year,Moderate,Moderate,Not at all,Moderate,Moderate,Severe,No,Never,Some of the time,Not at all,Rarely,Some of the time,Often,Not at all,Not at all,Heterosexual with some same-sex attraction,Sometimes,Always,Never,Bottom 50%,Sometimes,Sometimes,Yes,No,No,Yes,Less than 5 hours,Moderately Well,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,A little,A little,Not at all,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Severe,Moderate,Severe,Moderate,Moderate,Severe,No,Never,Often,Often,Rarely,Rarely,Rarely,Rarely,Not at all,Heterosexual with no same-sex attraction,Rarely,Often,Sometimes,Bottom 50%,Rarely,Rarely,Yes,No,No,No,5-6 hours,Poorly,A little,Quite a bit,Extremely,A little,Quite a bit,Extremely,Quite a bit,Extremely,Stressful,Sometimes
Male,22 to 26,Both parents are together,Third year,Severe,Mild,Very Severe,Mild,Moderate,Very Severe,No,Monthly or less,Some of the time,Rarely,Not at all,Rarely,Rarely,Rarely,Some of the time,Heterosexual with no same-sex attraction,Rarely,Sometimes,Rarely,Bottom 50%,Sometimes,Sometimes,Yes,No,No,No,Less than 5 hours,Poorly,A little,Quite a bit,Quite a bit,A little,Extremely,A little,A little,A little,Neutral,Rarely
Female,22 to 26,Both parents are together,Third year,Severe,Mild,Mild,Severe,Mild,Severe,No,Never,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Heterosexual with no same-sex attraction,Often,Often,Sometimes,Bottom 50%,Sometimes,Often,Yes,No,Yes,Yes,5-6 hours,Well,Quite a bit,Quite a bit,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,A little,Neutral,Rarely
Female,22 to 26,Separated,Third year,Moderate,Mild,Moderate,Moderate,Not at all,Not at all,No,Monthly or less,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Rarely,Rarely,Heterosexual with some same-sex attraction,Sometimes,Rarely,Sometimes,Top 50%,Sometimes,Rarely,Yes,No,Yes,Yes,7-8 hours,Poorly,Quite a bit,Quite a bit,A little,A little,Quite a bit,A little,Quite a bit,A little,Neutral,Rarely
Female,22 to 26,Both parents are together,Third year,Moderate,Mild,Mild,Moderate,Severe,Moderate,Yes,Never,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Rarely,Rarely,Heterosexual with no same-sex attraction,Often,Rarely,Rarely,Top 50%,Often,Sometimes,No,Yes,Yes,No,5-6 hours,Very Poorly (Not at all productively),A little,Quite a bit,Extremely,A little,Quite a bit,A little,Quite a bit,Quite a bit,Neutral,Often
Male,22 to 26,Both parents are together,Third year,Severe,Mild,Mild,Not at all,Mild,Severe,Yes,Never,Often,Some of the time,Rarely,Often,Often,Often,All of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Rarely,Top 50%,Rarely,Always,Yes,No,No,No,5-6 hours,Well,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Extremely,A little,Neutral,Always
Female,22 to 26,Both parents are together,Third year,Moderate,Moderate,Moderate,Mild,Mild,Severe,Yes,Never,Not at all,Not at all,Not at all,Not at all,Rarely,Rarely,Not at all,Heterosexual with no same-sex attraction,Often,Always,Often,Top 50%,Sometimes,Rarely,Yes,No,No,No,5-6 hours,Moderately Well,A little,A little,Extremely,Quite a bit,Extremely,Extremely,A little,Quite a bit,Stressful,Sometimes
Male,22 to 26,Both parents are together,Third year,Severe,Moderate,Mild,Moderate,Mild,Moderate,Yes,Never,Often,Often,Some of the time,All of the time,Often,Some of the time,Often,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Rarely,Top 50%,Often,Sometimes,No,No,No,No,7-8 hours,Moderately Well,Quite a bit,A little,A little,A little,Quite a bit,Quite a bit,Quite a bit,A little,Neutral,Often
Female,22 to 26,Both parents are together,Third year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No,Never,All of the time,Often,Often,Some of the time,Rarely,Rarely,Rarely,Heterosexual with some same-sex attraction,Rarely,Never,Never,Bottom 50%,Rarely,Always,No,Yes,Yes,No,7-8 hours,Well,Quite a bit,Quite a bit,A little,A little,Not at all,A little,A little,Not at all,Stressful,Rarely
Female,22 to 26,Both parents are together,First year,Very Severe,Mild,Very Severe,Very Severe,Not at all,Very Severe,No,Never,Not at all,Not at all,All of the time,Not at all,Rarely,Often,Some of the time,Heterosexual with no same-sex attraction,Rarely,Never,Never,Bottom 50%,Never,Never,No,No,No,No,More than 8 hours,Very Poorly (Not at all productively),Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Extremely,Very relaxing,Rarely
Female,22 to 26,Both parents are together,Third year,Moderate,Very Severe,Not at all,Moderate,Moderate,Moderate,No,Never,Rarely,Not at all,Rarely,Rarely,Not at all,Rarely,Not at all,Heterosexual with no same-sex attraction,Always,Often,Sometimes,Bottom 50%,Often,Sometimes,No,No,Yes,Yes,7-8 hours,Poorly,Quite a bit,Quite a bit,Not at all,A little,Quite a bit,Extremely,Extremely,Extremely,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Moderate,Not at all,Moderate,Mild,Mild,Mild,Yes,Never,Rarely,Rarely,Some of the time,Rarely,Some of the time,Not at all,Rarely,Heterosexual with no same-sex attraction,Never,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,Yes,No,No,No,5-6 hours,Poorly,Quite a bit,Quite a bit,A little,A little,Extremely,Quite a bit,Extremely,A little,Stressful,Often
Male,22 to 26,I do not have a father (deceased),Third year,Severe,Not at all,Mild,Not at all,Mild,Severe,No,Never,Often,Often,Often,Often,Some of the time,Often,Often,Non-heterosexual without same-sex sexual contact,Often,Rarely,Rarely,Bottom 50%,Sometimes,Often,No,No,No,Yes,Less than 5 hours,Moderately Well,Not at all,A little,A little,A little,A little,A little,A little,A little,Relaxing,Rarely
Male,30 to 34,Both parents are together,Fourth year,Not at all,Very Severe,Not at all,Not at all,Very Severe,Not at all,Yes,2-3 times a week,All of the time,All of the time,Rarely,All of the time,All of the time,Rarely,All of the time,Heterosexual with no same-sex attraction,Always,Always,Always,Top 50%,Always,Always,Yes,Yes,Yes,Yes,More than 8 hours,Very Well (Very Productively),Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very stressful,Always
Male,22 to 26,I do not have a father (deceased),Third year,Very Severe,Not at all,Not at all,Not at all,Not at all,Very Severe,No,Never,Often,Often,Often,Often,Often,Often,Often,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Sometimes,Top 50%,Always,Always,No,No,No,Yes,Less than 5 hours,Moderately Well,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Relaxing,Sometimes
Female,22 to 26,Both parents are together,Third year,Moderate,Not at all,Not at all,Mild,Severe,Severe,Yes,Never,Often,Often,Often,Some of the time,Rarely,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Rarely,Rarely,Top 50%,Rarely,Sometimes,No,No,No,No,More than 8 hours,Moderately Well,A little,A little,A little,A little,Quite a bit,A little,Quite a bit,A little,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Moderate,Very Severe,Moderate,Moderate,Severe,Moderate,No,2-4 times a month,Often,Some of the time,Some of the time,Rarely,Some of the time,All of the time,Often,Heterosexual with some same-sex attraction,Sometimes,Sometimes,Often,Top 50%,Sometimes,Often,No,Yes,No,No,5-6 hours,Moderately Well,A little,A little,A little,Quite a bit,Quite a bit,A little,Quite a bit,A little,Very relaxing,Always
Male,22 to 26,Both parents are together,Third year,Moderate,Severe,Very Severe,Severe,Not at all,Severe,Yes,Never,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Heterosexual with no same-sex attraction,Sometimes,Often,Rarely,Top 50%,Sometimes,Often,Yes,No,Yes,No,5-6 hours,Very Poorly (Not at all productively),Quite a bit,Quite a bit,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Stressful,Sometimes
Male,22 to 26,Both parents are together,Third year,Mild,Severe,Moderate,Severe,Severe,Mild,Yes,Never,Often,Often,Some of the time,Some of the time,Often,Some of the time,Often,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,No,No,No,No,7-8 hours,Well,A little,A little,Quite a bit,Not at all,Not at all,Not at all,Extremely,Not at all,Relaxing,Always
Female,22 to 26,Both parents are together,Fourth year,Moderate,Severe,Mild,Moderate,Mild,Not at all,Yes,Never,Rarely,Some of the time,Rarely,Rarely,Not at all,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Often,Sometimes,Often,Top 50%,Sometimes,Sometimes,No,No,No,No,5-6 hours,Moderately Well,A little,Quite a bit,A little,Quite a bit,A little,A little,Quite a bit,Quite a bit,Neutral,Sometimes
Female,17 to 21,Both parents are together,Second year,Moderate,Mild,Moderate,Mild,Moderate,Mild,Yes,Never,Some of the time,Often,Some of the time,Rarely,Rarely,Often,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Rarely,Top 50%,Sometimes,Sometimes,No,Yes,Yes,No,Less than 5 hours,Poorly,A little,Quite a bit,Quite a bit,Not at all,A little,Quite a bit,A little,A little,Stressful,Sometimes
Male,22 to 26,Both parents are together,Second year,Mild,Moderate,Mild,Moderate,Moderate,Moderate,Yes,Monthly or less,Often,Some of the time,Often,Some of the time,Rarely,Some of the time,Often,Heterosexual with some same-sex attraction,Never,Sometimes,Never,Bottom 50%,Rarely,Often,No,No,No,No,7-8 hours,Moderately Well,A little,A little,Not at all,A little,Not at all,A little,Not at all,A little,Relaxing,Sometimes
Female,22 to 26,Separated,Fourth year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Monthly or less,Some of the time,Not at all,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Heterosexual with no same-sex attraction,Sometimes,Often,Sometimes,Bottom 50%,Often,Sometimes,Yes,Yes,Yes,Yes,7-8 hours,Moderately Well,A little,A little,A little,A little,Not at all,Not at all,A little,A little,Neutral,Sometimes
Female,22 to 26,Both parents are together,Third year,Mild,Mild,Moderate,Mild,Moderate,Not at all,Yes,Never,Rarely,Rarely,Rarely,Not at all,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Sometimes,Sometimes,No,No,No,No,7-8 hours,Well,A little,A little,A little,A little,A little,A little,A little,A little,Relaxing,Always
